measured,real
312660.55,-2334.83002731354
330461.01,-2334.83002731354
449149.29,-1934.49008194061
569729.3,-1534.15013656768
686689.45,-1133.81019119475
805416.62,-733.470245821817
921818.97,-333.130300448888
1037467.17,67.2096449240416
1153789.5,467.549590296971
1272372.06,867.8895356699
