time,raw reading
1491404224.0,330643.0
1491404225.0,330599.515464
1491404226.0,330332.416667
1491404227.0,330325.791667
1491404228.0,330377.185567
1491404229.0,330462.520833
1491404230.0,330482.628866
1491404231.0,330550.845361
1491404232.0,330581.046875
1491404233.0,330621.625
1491404234.0,330580.5
1491404235.0,330582.026178
1491404236.0,330572.968531
1491404237.0,330487.443299
1491404238.0,330518.735602
1491404239.0,330557.804196
1491404240.0,330576.125
1491404241.0,330471.195876
1491404242.0,330504.410995
1491404243.0,330522.84331
1491404244.0,330604.453608
1491404245.0,330627.924084
1491404246.0,330658.0
1491404247.0,330579.727749
1491404248.0,330755.580713
1491404249.0,330850.86014
1491404250.0,330836.943114
1491404251.0,330722.214192
1491404252.0,330911.614486
1491404253.0,330929.64143
1491404254.0,331083.195876
1491404255.0,331161.732984
1491404256.0,331266.790941
1491404257.0,331328.4375
1491404258.0,331128.886598
1491404259.0,331199.604167
1491404260.0,331353.979167
1491404261.0,331173.293194
1491404262.0,330669.278826
1491404263.0,330782.708551
1491404264.0,330928.232733
1491404265.0,330745.541393
1491404266.0,330767.53972
1491404267.0,330935.628866
1491404268.0,330954.096859
1491404269.0,330911.527972
1491404270.0,330956.979167
1491404271.0,330996.731959
1491404272.0,330908.528796
1491404273.0,331029.860627
1491404274.0,330971.42268
1491404275.0,331030.965969
1491404276.0,330925.327526
1491404277.0,330992.958115
1491404278.0,330932.467368
1491404279.0,330764.74386
1491404280.0,330890.052553
1491404281.0,330823.857708
1491404282.0,330868.935597
1491404283.0,330663.668072
1491404284.0,330704.85567
1491404285.0,330756.934896
1491404286.0,330614.529617
1491404287.0,330564.25
1491404288.0,330550.329897
1491404289.0,330557.924084
1491404290.0,330626.278746
1491404291.0,330677.568063
1491404292.0,330667.463918
1491404293.0,330537.150259
1491404294.0,330643.517361
1491404295.0,330497.057292
1491404296.0,330607.905858
1491404297.0,330705.21815
1491404298.0,330560.135417
1491404299.0,330470.061856
1491404300.0,330425.222513
1491404301.0,330347.87108
1491404302.0,330263.170175
1491404303.0,330112.063158
1491404304.0,330068.956217
1491404305.0,330119.791667
1491404306.0,330091.068063
1491404307.0,330093.111888
1491404308.0,330155.474227
1491404309.0,330188.468586
1491404310.0,330182.461538
1491404311.0,330087.604167
1491404312.0,330084.917526
1491404313.0,330061.947644
1491404314.0,329959.651568
1491404315.0,330218.400524
1491404316.0,330305.302521
1491404317.0,330215.847902
1491404318.0,330337.322917
1491404319.0,330443.094737
1491404320.0,330472.421053
1491404321.0,330485.386842
1491404322.0,330450.030928
1491404323.0,330593.875
1491404324.0,330627.404181
1491404325.0,330556.886598
1491404326.0,330604.04712
1491404327.0,330681.278746
1491404328.0,330662.134021
1491404329.0,330695.861257
1491404330.0,330797.29021
1491404331.0,330785.361257
1491404332.0,331074.666667
1491404333.0,331135.958115
1491404334.0,331254.055749
1491404335.0,331544.984211
1491404336.0,326995.6
1491404337.0,326492.392982
1491404338.0,321720.185567
1491404339.0,317449.979058
1491404340.0,317230.291958
1491404341.0,317290.875
1491404342.0,317435.814433
1491404343.0,317577.196335
1491404344.0,317695.909408
1491404345.0,317721.57193
1491404346.0,317651.24
1491404347.0,317721.7338
1491404348.0,319859.604167
1491404349.0,335248.026178
1491404350.0,381009.821678
1491404351.0,446264.371134
1491404352.0,447512.562827
1491404353.0,449765.72028
1491404354.0,449592.46875
1491404355.0,448783.103093
1491404356.0,449074.232984
1491404357.0,449835.414634
1491404358.0,426582.814433
1491404359.0,416932.638743
1491404360.0,410122.463415
1491404361.0,373926.854167
1491404362.0,371727.539267
1491404363.0,431420.433566
1491404364.0,450321.020619
1491404365.0,449646.141361
1491404366.0,449895.994755
1491404367.0,450258.96063
1491404368.0,449748.061856
1491404369.0,449328.337696
1491404370.0,449087.236934
1491404371.0,451250.854167
1491404372.0,452756.560209
1491404373.0,452020.611888
1491404374.0,451382.879581
1491404375.0,451142.72
1491404376.0,450924.070175
1491404377.0,450559.175676
1491404378.0,450158.764474
1491404379.0,450192.210526
1491404380.0,449910.864583
1491404381.0,449745.103093
1491404382.0,449726.636126
1491404383.0,449644.708042
1491404384.0,449601.354167
1491404385.0,449613.302083
1491404386.0,449556.480836
1491404387.0,449396.315927
1491404388.0,449303.319588
1491404389.0,449194.166667
1491404390.0,449365.247423
1491404391.0,449233.375
1491404392.0,449120.989691
1491404393.0,449038.083333
1491404394.0,449011.257732
1491404395.0,449019.963351
1491404396.0,448960.092657
1491404397.0,448889.270833
1491404398.0,448840.536082
1491404399.0,448743.348958
1491404400.0,448786.295139
1491404401.0,449183.268041
1491404402.0,449071.924084
1491404403.0,448830.223776
1491404404.0,448651.329897
1491404405.0,448586.518325
1491404406.0,448549.505245
1491404407.0,448575.078534
1491404408.0,448475.708333
1491404409.0,448450.371134
1491404410.0,448505.52356
1491404411.0,448345.393728
1491404412.0,448382.260417
1491404413.0,448364.85567
1491404414.0,448332.282723
1491404415.0,448482.512195
1491404416.0,448556.65625
1491404417.0,448570.591623
1491404418.0,448520.363636
1491404419.0,448254.494845
1491404420.0,448303.803665
1491404421.0,448298.853147
1491404422.0,448446.793194
1491404423.0,448429.647059
1491404424.0,448370.161121
1491404425.0,448503.166667
1491404426.0,448538.645833
1491404427.0,448572.664921
1491404428.0,448592.045296
1491404429.0,448681.985088
1491404430.0,448683.202105
1491404431.0,448753.20123
