time,raw reading
1491402616.8,311295.0
1491402616.9,311361.4
1491402617.0,311534.777778
1491402617.1,311458.2
1491402617.2,311489.4
1491402617.4,311504.0
1491402617.5,311399.837838
1491402617.7,311559.210526
1491402618.0,311697.241379
1491402618.2,311784.789474
1491402618.4,311884.3
1491402618.5,311922.384615
1491402618.7,311745.209302
1491402618.9,311720.2
1491402619.0,311646.731343
1491402619.1,311599.256757
1491402619.2,311723.814815
1491402619.3,311844.286517
1491402619.4,311719.938144
1491402619.5,311807.790476
1491402619.6,311798.597345
1491402619.7,311834.553719
1491402619.8,311867.627907
1491402619.9,312049.29927
1491402620.0,311829.213793
1491402620.1,311834.356209
1491402620.2,311884.493827
1491402620.4,311951.105556
1491402620.5,311615.931217
1491402620.6,311716.0
1491402620.7,311798.388889
1491402620.9,311748.842105
1491402621.0,311801.035714
1491402621.2,311759.684211
1491402621.5,311818.931034
1491402621.7,311863.894737
1491402621.9,312027.15
1491402622.0,312163.62963
1491402622.1,312193.852941
1491402622.2,312092.422764
1491402622.3,312061.612245
1491402622.4,312145.5625
1491402622.5,312072.84375
1491402622.6,312163.901408
1491402622.7,312187.468354
1491402622.8,312135.034483
1491402622.9,312242.291667
1491402623.0,312235.490385
1491402623.1,312091.973214
1491402623.2,312246.859504
1491402623.3,312477.79845
1491402623.4,312408.34058
1491402623.5,312561.493056
1491402623.6,312330.611842
1491402623.7,312403.31875
1491402623.8,312310.12426
1491402623.9,312608.677966
1491402624.0,312550.247312
1491402624.1,312463.0
1491402624.2,312599.888889
1491402624.4,312632.888889
1491402624.5,312588.244444
1491402624.7,312537.349206
1491402625.0,312587.4
1491402625.2,312649.361702
1491402625.5,312596.432432
1491402625.7,312739.67033
1491402625.8,312607.540404
1491402625.9,312767.457944
1491402626.0,312788.057018
1491402626.1,312816.7
1491402626.2,312813.444444
1491402626.3,312902.9375
1491402626.4,312901.90625
1491402626.5,312849.076923
1491402626.6,312885.553191
1491402626.7,312896.936364
1491402626.8,312812.634921
1491402626.9,312871.833333
1491402627.0,312862.790123
1491402627.1,312779.111111
1491402627.2,312808.666667
1491402627.3,312855.888889
1491402627.4,312920.722222
1491402627.5,312874.222222
1491402627.77,313050.8
1491402627.86,313161.75
1491402627.93,313217.648649
1491402628.0,313190.488095
1491402628.07,313172.531915
1491402628.19,313150.241379
1491402628.29,313287.924242
1491402628.67,313262.771429
1491402628.8,313359.24359
1491402629.0,313244.176471
1491402629.2,313366.766234
1491402629.4,313451.631579
1491402629.6,313458.842105
1491402629.8,313453.85
1491402630.0,313479.888889
1491402630.2,313553.15
1491402630.4,313574.405405
1491402630.6,313684.462963
1491402630.8,313781.125
1491402631.0,313850.788889
1491402631.2,313645.018519
1491402631.4,313757.288
1491402631.6,313747.877622
1491402631.8,313681.888199
1491402632.0,313840.744444
1491402632.25,313636.423077
1491402632.5,313719.027778
1491402633.0,313759.831325
1491402633.5,313929.992308
1491402634.0,313935.125
1491402634.5,313999.938776
1491402635.0,313952.511494
1491402635.5,313955.515385
1491402635.75,313941.0
1491402636.75,313991.888889
1491402637.0,313989.512195
1491402637.25,314042.129032
1491402637.4,314121.794521
1491402637.6,314028.038462
1491402637.8,313994.825688
1491402638.0,313967.614173
1491402638.2,314092.065517
1491402638.4,314076.02454
1491402638.6,314154.292818
1491402638.8,314176.376884
1491402639.0,314097.862385
1491402639.2,313023.315789
1491402639.4,310030.85
1491402639.6,310036.210526
1491402640.0,310201.552632
1491402640.2,310308.45
1491402640.4,310349.27027
1491402640.6,310414.972222
1491402640.8,310382.986111
1491402641.0,310513.044444
1491402641.2,310478.541284
1491402641.4,317042.0
1491402641.6,332133.648649
1491402641.8,349566.0
1491402642.0,380777.783784
1491402642.2,325415.105263
1491402642.4,310154.421053
1491402642.6,310499.05
1491402642.8,310567.87963
1491402643.0,310441.230769
1491402643.2,310521.55
1491402643.4,310547.675676
1491402643.6,310374.101852
1491402643.8,310520.180556
1491402644.0,310645.355556
1491402644.2,310718.205607
1491402644.4,310682.504032
1491402644.6,310611.21831
1491402644.8,310492.80625
1491402645.0,310566.75419
1491402645.2,310663.157895
1491402645.4,310734.105263
1491402645.6,310798.95
1491402646.0,310845.947368
1491402646.2,310828.105263
1491402646.4,310790.15
1491402646.6,310793.648649
1491402646.8,310897.681818
1491402647.0,310862.270833
1491402647.2,310896.662921
1491402647.4,310963.943396
1491402647.6,310937.725806
1491402647.8,310932.098592
1491402648.0,311158.2375
1491402648.2,311184.318436
1491402648.4,311138.052632
1491402648.6,311231.945946
1491402649.0,311158.146667
1491402649.2,311156.894737
1491402649.4,311204.75
1491402649.6,311271.731481
1491402649.8,311320.867925
1491402650.0,311398.707143
1491402650.2,311348.35
1491402650.4,311259.540541
1491402650.6,310729.490909
1491402650.8,309960.0
1491402651.0,310137.626374
1491402651.2,310454.976852
1491402651.4,310442.65873
1491402651.6,310475.916667
1491402651.8,310647.864198
1491402652.0,310695.281768
1491402652.2,310746.789474
1491402652.4,310789.789474
1491402652.6,310750.552632
1491402653.0,310669.078947
1491402653.2,310915.15
1491402653.4,310971.702703
1491402653.6,311017.62037
1491402653.8,311094.789474
1491402654.0,311095.810811
1491402654.2,311119.254545
1491402654.4,311183.787671
1491402654.6,311158.868132
1491402654.8,311136.266055
1491402655.0,311193.164062
1491402655.2,311267.105263
1491402655.4,311402.947368
1491402655.6,311357.368421
1491402656.0,311400.948718
1491402656.2,311394.75
1491402656.4,311493.702703
1491402656.6,311490.601852
1491402656.8,311622.842857
1491402657.0,311679.375
1491402657.2,311727.142857
1491402657.4,311554.422131
1491402657.6,311601.65
1491402657.8,311716.06962
1491402658.0,311741.242938
1491402658.2,311739.052632
1491402658.4,311747.210526
1491402658.6,311785.684211
1491402659.0,311809.348214
1491402659.2,311866.789474
1491402659.4,311890.631579
1491402659.6,311757.95
1491402659.8,311819.814815
1491402660.0,311893.754717
1491402660.2,312007.857143
1491402660.4,311952.114943
1491402660.6,312037.357143
1491402660.8,311934.138211
1491402661.0,311991.241135
1491402661.2,312102.037736
1491402661.4,312107.655367
1491402661.6,312154.692308
1491402662.0,312170.729614
1491402662.2,312127.789474
1491402662.4,312126.263158
1491402662.6,312149.65
1491402662.8,312074.702703
1491402663.0,312035.264151
1491402663.2,312100.65
1491402663.4,312238.189189
1491402663.6,312115.564815
1491402663.8,312078.888889
1491402664.0,312069.333333
1491402664.2,312063.785047
1491402664.4,312044.248
1491402664.6,312096.503497
1491402664.8,312129.639752
1491402665.0,312170.977654
1491402665.2,312127.020202
1491402665.4,312123.947368
1491402665.6,312104.1
1491402666.0,312174.473684
1491402666.2,312214.25
1491402666.4,312128.783784
1491402666.6,311879.787037
1491402666.8,311669.619718
1491402667.0,311671.47191
1491402667.2,311811.878505
1491402667.4,311907.376
1491402667.6,312075.34965
1491402668.0,312125.016667
1491402668.2,312097.628141
1491402668.4,311885.210526
1491402668.6,311969.263158
1491402668.8,311953.0
1491402669.0,311909.296296
1491402669.2,311903.631579
1491402669.4,311977.287037
1491402669.6,311729.09434
1491402669.8,311845.664286
1491402670.0,311907.54023
1491402670.2,311993.5
1491402670.4,312080.324324
1491402670.6,312056.675926
1491402670.8,312027.152778
1491402671.0,311791.222222
1491402671.2,311943.074074
1491402671.4,312171.724409
1491402671.6,312049.210526
1491402671.8,312153.052632
1491402672.0,312171.842105
1491402672.2,312252.0
1491402672.4,312213.631579
1491402672.6,312314.421053
1491402672.8,312273.75
1491402673.0,312336.027027
1491402673.2,312363.924528
1491402673.4,312300.652381
1491402673.6,312286.894737
1491402673.8,312292.027778
1491402674.0,312222.962963
1491402674.2,312197.388889
1491402674.4,312215.422222
1491402674.6,312334.28972
1491402674.8,312294.190476
1491402675.0,312234.104167
1491402675.2,312318.944785
1491402675.4,312332.631579
1491402675.6,312320.473684
1491402675.8,312339.421053
1491402676.0,312340.368421
1491402676.2,312346.654545
1491402676.4,312392.548611
1491402676.6,312371.674157
1491402676.8,312337.6
1491402677.0,312392.837838
1491402677.2,312356.972727
1491402677.4,312476.315068
1491402677.6,312394.857143
1491402677.8,312377.93578
1491402678.0,312310.414062
1491402678.2,312326.578947
1491402678.4,312216.473684
1491402678.6,312069.052632
1491402679.0,312200.210526
1491402679.2,312269.95
1491402679.4,312251.324324
1491402679.6,312362.87037
1491402679.8,312323.924638
1491402680.0,312308.244186
1491402680.2,312318.737864
1491402680.4,312488.691667
1491402680.6,312496.869565
1491402680.8,312558.339744
1491402681.0,312395.28
1491402681.2,312639.257813
1491402681.4,312635.52381
1491402681.6,312651.938596
1491402682.0,312591.364662
1491402682.2,312624.736842
1491402682.4,312568.736842
1491402682.6,312601.8
1491402682.8,312537.25
1491402683.0,312677.132075
1491402683.2,312689.7
1491402683.4,312621.298851
1491402683.6,312663.923077
1491402683.8,312652.754098
1491402684.0,312702.014286
1491402684.2,312765.126582
1491402684.4,312653.698864
1491402684.6,312633.618557
1491402684.8,312677.561321
1491402685.0,312660.077922
1491402685.2,312780.105263
1491402685.4,312786.157895
1491402685.6,312733.921053
1491402686.0,312650.5
1491402686.2,312699.842105
1491402686.4,312670.25
1491402686.6,312720.0
1491402686.8,312677.481818
1491402687.0,312779.890411
1491402687.2,312724.076923
1491402687.4,312678.981651
1491402687.6,312808.812169
1491402687.8,312790.395833
1491402688.0,312847.641975
1491402688.2,312755.320442
1491402688.4,312712.789474
1491402688.6,312638.421053
1491402689.0,312670.596491
1491402689.2,312628.972603
1491402689.4,312674.0
1491402689.6,312714.27027
1491402689.8,312695.537037
1491402690.0,312635.014085
1491402690.2,312682.230337
1491402690.4,312737.420561
1491402690.6,312674.224
1491402690.8,312743.146853
1491402691.0,312815.813665
1491402691.2,312807.027933
1491402691.4,312855.434343
1491402691.6,312897.157895
1491402692.0,312904.769231
1491402692.2,312926.473684
1491402692.4,312980.631579
1491402692.6,313020.157895
1491402692.8,313004.0
1491402693.0,312963.081081
1491402693.2,312949.425926
1491402693.4,312997.169014
1491402693.6,312928.784091
1491402693.8,312827.790476
1491402694.0,312874.813008
1491402694.2,312890.340426
1491402694.4,313000.075472
1491402694.6,313018.735955
1491402694.8,312911.421053
1491402695.0,312928.810811
1491402695.2,313049.857143
1491402695.4,313039.842105
1491402695.6,313062.315789
1491402695.8,313084.55
1491402696.0,313028.972222
1491402696.2,313192.622642
1491402696.4,313070.321429
1491402696.6,313098.157088
1491402696.8,312999.548077
1491402697.0,313036.983607
1491402697.2,312915.964286
1491402697.4,312890.481013
1491402697.6,313022.587571
1491402697.8,313082.528205
1491402698.0,313021.295775
1491402698.2,312911.675325
1491402698.4,312970.296
1491402698.6,313018.157895
1491402698.8,313028.0
1491402699.0,313046.189189
1491402699.2,313055.833333
1491402699.4,312940.473684
1491402699.6,312955.45
1491402699.8,313000.945946
1491402700.0,313018.296296
1491402700.2,312872.633803
1491402700.4,312935.662921
1491402700.6,313002.074766
1491402700.8,312975.571429
1491402701.0,312925.409722
1491402701.2,313050.604938
1491402701.4,313106.955801
1491402701.6,313105.631579
1491402702.0,313192.631579
1491402702.2,313338.8
1491402702.4,313172.5
1491402702.6,313100.45283
1491402702.8,313136.207143
1491402703.0,313233.172414
1491402703.2,313291.509615
1491402703.4,313460.204918
1491402703.6,313297.784173
1491402703.8,313324.464744
1491402704.0,313341.178161
1491402704.2,313273.15625
1491402704.4,313293.309524
1491402704.6,313332.964912
1491402704.8,313295.792683
1491402705.0,313458.685606
1491402705.2,313396.522968
1491402705.4,313412.684211
1491402705.6,313425.894737
1491402706.0,313507.754386
1491402706.2,313535.205479
1491402706.4,313582.032609
1491402706.6,313631.027523
1491402707.0,313661.372414
1491402707.2,313750.720859
1491402707.4,313765.061111
1491402707.6,313727.116162
1491402707.8,313799.722222
1491402708.0,313791.867521
1491402708.2,313846.674603
1491402708.4,313883.947368
1491402708.6,313908.486486
1491402708.8,313907.947368
1491402709.0,314010.710526
1491402709.2,313923.947368
1491402709.4,313907.95
1491402709.6,313883.675676
1491402710.0,313894.027778
1491402710.2,313892.55
1491402710.4,313864.756757
1491402710.6,313876.222222
1491402710.8,313874.619718
1491402711.0,313994.151685
1491402711.2,313983.878505
1491402711.4,313945.198413
1491402711.6,314006.048611
1491402711.8,314025.006173
1491402712.0,314076.403315
1491402712.2,314019.210526
1491402712.4,313965.157895
1491402712.6,313963.105263
1491402712.8,313990.0
1491402713.0,314016.101852
1491402713.2,313986.509434
1491402713.4,314131.314286
1491402713.6,314194.275862
1491402713.8,314091.854369
1491402714.0,314068.677686
1491402714.2,314028.208633
1491402714.4,314030.509615
1491402714.6,314012.764368
1491402714.8,314078.885417
1491402715.0,314151.419048
1491402715.2,314027.663755
1491402715.4,313966.526316
1491402715.6,314023.052632
1491402716.0,314062.923077
1491402716.2,314097.210526
1491402716.4,314039.052632
1491402716.6,314105.55
1491402716.8,314099.135135
1491402717.0,314022.518519
1491402717.2,314051.056338
1491402717.4,314044.340909
1491402717.6,314018.67619
1491402717.8,313944.333333
1491402718.0,314055.801418
1491402718.2,314113.861635
1491402718.4,314118.685393
1491402718.6,314063.631579
1491402719.0,314076.859649
1491402719.2,314066.368421
1491402719.4,314078.578947
1491402719.6,314120.95
1491402719.8,314108.833333
1491402720.0,314147.773585
1491402720.2,314075.197183
1491402720.4,314123.6875
1491402720.6,314011.161905
1491402720.8,314020.626016
1491402721.0,314125.680851
1491402721.2,314058.283019
1491402721.4,314005.240113
1491402721.6,314006.589744
1491402721.8,313976.596244
1491402722.0,313968.556034
1491402722.2,313951.789474
1491402722.4,313950.263158
1491402722.6,313997.2
1491402722.8,314059.648649
1491402723.0,314016.886792
1491402723.2,314084.263158
1491402723.4,314083.2
1491402723.6,314045.486486
1491402723.8,314133.6
1491402724.0,314079.479452
1491402724.2,314041.772222
1491402724.4,314135.87963
1491402724.6,314094.865079
1491402724.8,314141.888889
1491402725.0,314086.660494
1491402725.2,314132.762431
1491402725.4,314069.263158
1491402725.6,314065.95
1491402726.0,314027.026316
1491402726.2,314074.526316
1491402726.4,314079.9
1491402726.6,314058.189189
1491402726.8,314006.824074
1491402727.0,314103.583333
1491402727.2,314156.388889
1491402727.4,314134.925234
1491402727.6,314152.74
1491402727.8,314083.846154
1491402728.0,313977.279503
1491402728.2,314069.555556
1491402728.4,314109.105263
1491402728.6,314128.105263
1491402729.0,314095.564103
1491402729.2,314066.157895
1491402729.4,314086.65
1491402729.6,314035.054054
1491402729.8,314001.694444
1491402730.0,314160.394366
1491402730.2,314098.4
1491402730.4,314073.108108
1491402730.6,314174.592593
1491402730.8,314104.125
1491402731.0,314180.777778
1491402731.2,314199.166667
1491402731.4,314241.055118
1491402731.6,314163.421053
1491402731.8,314170.324324
1491402732.0,314292.303571
1491402732.2,314210.368421
1491402732.4,314229.842105
1491402732.6,314246.65
1491402732.8,314178.398148
1491402733.0,314223.057692
1491402733.2,314250.019324
1491402733.4,314236.424419
1491402733.6,314210.223301
1491402733.8,314334.247934
1491402734.0,314280.733813
1491402734.2,314313.585987
1491402734.4,314295.517045
1491402734.6,314129.778351
1491402734.8,314256.948113
1491402735.0,314408.3
1491402735.2,314375.088353
1491402735.4,314322.210526
1491402735.6,314353.0
1491402735.8,314339.45
1491402736.0,314341.666667
1491402736.2,314363.538462
1491402736.4,314420.8
1491402736.6,314361.081081
1491402736.8,314424.888889
1491402737.0,314467.15493
1491402737.2,314548.101124
1491402737.4,314449.82243
1491402737.6,314479.620968
1491402737.8,314496.359155
1491402738.0,314377.36875
1491402738.2,314604.651685
1491402738.4,314498.345178
1491402738.6,314497.368421
1491402739.0,314513.589744
1491402739.2,314509.017857
1491402739.4,314604.739726
1491402739.6,314600.842105
1491402739.8,314565.35
1491402740.0,314637.783784
1491402740.2,314575.827273
1491402740.4,314568.246575
1491402740.6,314578.076923
1491402740.8,314654.12844
1491402741.0,314451.726562
1491402741.2,314629.263158
1491402741.4,314640.945946
1491402741.6,314643.327273
1491402742.0,314666.236559
1491402742.2,314615.35
1491402742.4,314656.648649
1491402742.6,314690.789474
1491402743.0,314694.128205
1491402743.2,314753.973214
1491402743.4,314639.109589
1491402743.6,314646.094444
1491402743.8,314821.333333
1491402744.0,314646.746032
1491402744.2,314759.165517
1491402744.4,314705.526316
1491402744.6,314627.0
1491402744.8,314730.254545
1491402745.0,314748.689189
1491402745.2,314746.263158
1491402745.4,314786.105263
1491402745.6,314847.473684
1491402745.8,314705.0
1491402746.0,314735.009259
1491402746.2,314817.09434
1491402746.4,314760.7
1491402746.6,314792.735632
1491402746.8,314724.875
1491402747.0,314804.401639
1491402747.2,314621.242857
1491402747.4,314743.203822
1491402747.6,314759.308571
1491402747.8,314888.217617
1491402748.0,314979.521327
1491402748.2,314958.943478
1491402748.4,314805.105263
1491402748.6,314855.789474
1491402749.0,314822.102564
1491402749.2,314831.789474
1491402749.4,314872.684211
1491402749.6,314915.9
1491402749.8,314929.216216
1491402750.0,314748.805556
1491402750.2,314902.458333
1491402750.4,314782.134831
1491402750.6,314791.146226
1491402750.8,314813.217742
1491402751.0,314837.964789
1491402751.2,314943.76875
1491402751.4,314744.376404
1491402751.6,314835.071066
1491402752.0,314850.102564
1491402752.2,314846.157895
1491402752.4,314827.894737
1491402752.6,314830.210526
1491402752.8,314818.2
1491402753.0,314797.0
1491402753.2,314759.518519
1491402753.4,314769.309859
1491402753.6,314825.713483
1491402753.8,314816.037383
1491402754.0,314830.736
1491402754.2,314792.41958
1491402754.4,314925.658385
1491402754.6,314895.776536
1491402755.0,314896.050691
1491402755.2,314884.684211
1491402755.4,314886.05
1491402755.6,314854.768519
1491402756.0,314867.717949
1491402756.2,314957.160714
1491402756.4,314889.315068
1491402756.6,314869.7
1491402756.8,314885.37037
1491402757.0,314764.856
1491402757.2,314821.5
1491402757.4,314888.09375
1491402757.6,314846.213483
1491402757.8,314863.0
1491402758.0,314981.944186
1491402758.2,314800.052632
1491402758.4,314852.0
1491402758.6,314885.3
1491402759.0,314927.578947
1491402759.2,314873.736842
1491402759.4,314871.1
1491402759.6,314893.594595
1491402759.8,314859.581818
1491402760.0,314859.708333
1491402760.2,314927.382022
1491402760.4,314883.212264
1491402760.6,314878.403226
1491402760.8,314907.133803
1491402761.0,315008.534161
1491402761.2,314897.210526
1491402761.4,314969.842105
1491402761.6,315011.810811
1491402762.0,315043.36
1491402762.2,315011.473684
1491402762.4,315041.105263
1491402762.6,315011.95
1491402762.8,315060.194444
1491402763.0,315104.226415
1491402763.2,315064.84507
1491402763.4,315230.011364
1491402763.6,315185.07619
1491402763.8,315085.630081
1491402764.0,315014.921986
1491402764.2,315111.91195
1491402764.4,315103.780899
1491402764.6,315178.02551
1491402764.8,315029.023364
1491402765.0,315016.811159
1491402765.2,315041.684211
1491402765.4,315078.736842
1491402765.6,315069.65
1491402765.8,315127.783784
1491402766.0,315049.62037
1491402766.2,315013.685714
1491402766.4,314910.5
1491402766.6,314780.189189
1491402766.8,314718.872727
1491402767.0,314810.246575
1491402767.2,314648.263736
1491402767.4,314572.926606
1491402767.6,314667.820312
1491402767.8,314425.789474
1491402768.0,314452.783784
1491402768.2,314353.714286
1491402768.4,314451.789474
1491402768.6,314494.631579
1491402768.8,314504.3
1491402769.0,314571.162162
1491402769.2,314493.526316
1491402769.4,314480.5
1491402769.6,314466.972973
1491402769.8,314496.240741
1491402770.0,314625.690141
1491402770.2,314516.882022
1491402770.4,314497.962617
1491402770.6,314569.0
1491402770.8,314464.416667
1491402771.0,314550.561728
1491402771.2,314482.422222
1491402771.4,314676.266332
1491402771.6,314600.947368
1491402772.0,314595.307692
1491402772.2,314585.581818
1491402772.4,314642.591549
1491402772.6,314559.1
1491402772.8,314540.756757
1491402773.0,314632.194444
1491402773.2,314596.591549
1491402773.4,314598.151685
1491402773.6,314531.102804
1491402773.8,314575.83871
1491402774.0,314570.352113
1491402774.2,314608.58125
1491402774.4,314666.994382
1491402774.6,314550.380711
1491402775.0,314543.315789
1491402775.2,314552.55
1491402775.4,314586.805556
1491402775.6,314571.526316
1491402776.0,314596.794872
1491402776.2,314530.080357
1491402776.4,314494.932432
1491402776.6,314633.714286
1491402776.8,314596.259259
1491402777.0,314503.696
1491402777.2,314553.618881
1491402777.4,314567.037267
1491402777.6,314506.24581
1491402778.0,314510.271889
