time,raw reading
1494023196.0,1039077.3333333334
1494023196.1000001,1039048.7692307692
1494023196.2,1039058.552631579
1494023196.3000002,1039057.1
1494023196.4000001,1039036.7058823529
1494023196.5,1039036.0384615385
1494023196.6000001,1039116.4444444445
1494023196.7,1039114.375
1494023196.8000002,1038880.0
1494023196.9000001,1038965.71875
1494023197.0,1039029.475
1494023197.1000001,1039023.5454545454
1494023197.2,1039064.1052631579
1494023197.4000001,1039042.5555555555
1494023197.5,1039001.8636363636
1494023197.6000001,1039023.8431372549
1494023197.7,1038962.7288135593
1494023197.8000002,1039079.4411764706
1494023198.0,1038930.5930232558
1494023198.1000001,1039021.0
1494023198.2,1039062.5294117647
1494023198.3000002,1038958.0384615385
1494023198.5,1039009.2045454546
1494023198.7,1039142.5645161291
1494023199.0,1039073.0714285715
1494023199.2,1039054.2105263158
1494023199.5,1039059.3448275862
1494023199.6000001,1039013.1111111111
1494023199.7,1039070.3571428572
1494023199.8000002,1039038.1666666666
1494023200.0,1039032.75
1494023200.1000001,1039101.2941176471
1494023200.2,1039012.0243902439
1494023200.4000001,1039036.5
1494023200.5,1038936.6296296297
1494023200.7,1039030.6976744186
1494023200.8000002,1038935.2941176471
1494023200.9000001,1039025.9655172414
1494023201.0,1039017.5303030303
1494023201.1000001,1038955.301369863
1494023201.2,1039035.913580247
1494023201.3000002,1038972.213483146
1494023201.4000001,1039159.3298969072
1494023201.5,1038980.0095238095
1494023201.6000001,1039135.2123893806
1494023201.7,1038929.5737704918
1494023201.8000002,1039070.2222222222
1494023202.0,1039091.9629629629
1494023202.1000001,1038980.5714285715
1494023202.2,1039036.4772727273
1494023202.5,1039052.4827586206
1494023202.7,1039018.3529411765
1494023203.0,1039005.4666666667
1494023203.2,1039074.9361702128
1494023203.4000001,1039056.4274193548
1494023203.5,1038945.8450704225
1494023203.6000001,1038936.2222222222
1494023203.7,1038935.5789473684
1494023203.9000001,1038980.3157894737
1494023204.0,1038960.92
1494023204.1000001,1039052.4571428571
1494023204.2,1038924.6046511628
1494023204.3000002,1038985.15
1494023204.4000001,1038991.701754386
1494023204.5,1039015.3939393939
1494023204.6000001,1039084.2567567568
1494023204.7,1038983.5243902439
1494023204.8000002,1039049.4222222222
1494023204.9000001,1038965.7777777778
1494023205.0,1039127.4859813084
1494023205.2,1039012.9761904762
1494023205.3000002,1038969.7067669173
1494023205.5,1038988.8079470198
1494023205.6000001,1038939.1111111111
1494023205.7,1038932.5555555555
1494023205.9000001,1039004.5
1494023206.0,1038998.2222222222
1494023206.1000001,1039049.0
1494023206.1818182,1038979.7297297297
1494023206.275862,1038977.1136363636
1494023206.3125,1038884.9782608695
1494023206.34375,1038998.9361702128
1494023206.4054055,1039117.7647058824
1494023206.4390244,1038964.75
1494023206.4666667,1039074.962264151
1494023206.488889,1038947.5
1494023206.5208333,1038949.6666666666
1494023206.5490196,1038938.5
1494023206.5686274,1039009.0
1494023206.5925925,1038903.5
1494023206.6206896,1038959.6666666666
1494023206.6379311,1039068.0
1494023206.6825397,1038956.8
1494023206.6984127,1038970.0
1494023206.7230771,1038943.5
1494023206.75,1039018.0
1494023206.7647059,1039032.0
1494023206.7826087,1038981.0
1494023206.7971015,1038946.0
1494023206.8108108,1039019.5
1494023206.8243244,1039017.0
1494023206.8500001,1038900.0
1494023206.875,1038873.3333333334
1494023206.8875,1038849.0
1494023206.9000001,1038839.0
1494023206.9125001,1038885.0
1494023206.9250002,1038960.0
1494023206.9375,1039042.0
1494023206.95,1039052.5
1494023206.9750001,1038955.0
1494023206.9875002,1039027.0
1494023207.0,1038943.0
1494023207.0125,1038981.0
1494023207.0250001,1039020.0
1494023207.0375001,1039085.0
1494023207.0500002,1038874.0
1494023207.075,1038979.0
1494023207.0875001,1038995.0
1494023207.1000001,1038906.3333333334
1494023207.125,1038979.0
1494023207.1375,1038904.5
1494023207.1625001,1038886.0
1494023207.1750002,1038935.0
1494023207.1875,1038940.0
1494023207.2,1038904.0
1494023207.2125001,1038977.0
1494023207.2250001,1038811.0
1494023207.25,1038881.25
1494023207.2750001,1038918.5
1494023207.2875001,1038891.0
1494023207.3125,1038979.5
1494023207.325,1038989.5
1494023207.3375001,1039038.0
1494023207.3500001,1038943.0
1494023207.375,1038936.5
1494023207.3875,1038938.0
1494023207.4000001,1038922.0
1494023207.4125001,1038977.0
1494023207.4375,1039018.0
1494023207.45,1039032.0
1494023207.4625001,1039108.0
1494023207.4750001,1039067.0
1494023207.5,1038920.0
1494023207.5125,1038910.0
1494023207.5250001,1038925.0
1494023207.5375001,1038941.5
1494023207.575,1038856.6666666666
1494023207.5875001,1038994.0
1494023207.6000001,1038935.0
1494023207.6125002,1039038.0
1494023207.625,1038911.0
1494023207.6375,1038981.5
1494023207.6625001,1039062.0
1494023207.6750002,1038950.0
1494023207.6875,1038938.0
1494023207.7,1038972.0
1494023207.7125001,1039095.5
1494023207.7250001,1039125.0
1494023207.7375002,1039031.0
1494023207.75,1039073.0
1494023207.7625,1038984.0
1494023207.7750001,1038906.5
1494023207.8000002,1038965.0
1494023207.8125,1038914.0
1494023207.825,1038815.0
1494023207.8375001,1038889.0
1494023207.8500001,1038843.0
1494023207.8625002,1038863.5
1494023207.8875,1039028.0
1494023207.9000001,1039177.0
1494023207.9125001,1039116.5
1494023207.9375,1039042.0
1494023207.95,1039006.0
1494023207.9625001,1038960.0
1494023207.9750001,1038902.0
1494023208.0,1038981.3333333334
1494023208.0250001,1038964.0
1494023208.0375001,1038964.0
1494023208.0625,1038949.0
1494023208.075,1039011.0
1494023208.0875001,1038959.0
1494023208.1000001,1039040.0
1494023208.1125002,1039103.0
1494023208.125,1039147.0
1494023208.1375,1039146.0
1494023208.1500001,1039008.0
1494023208.1625001,1039054.0
1494023208.1875,1039083.0
1494023208.2,1039012.0
1494023208.2250001,1038898.5
1494023208.2375002,1038956.0
1494023208.2625,1038896.0
1494023208.2750001,1038927.5
1494023208.2875001,1039144.0
1494023208.3000002,1038833.0
1494023208.3125,1038907.0
1494023208.3375001,1039005.0
1494023208.3625002,1038832.0
1494023208.375,1038784.0
1494023208.4000001,1038896.5
1494023208.4125001,1039036.0
1494023208.4250002,1038896.0
1494023208.4375,1038842.0
1494023208.45,1038861.0
1494023208.4625001,1038848.5
1494023208.4750001,1038817.0
1494023208.4875002,1038855.0
1494023208.5,1038969.0
1494023208.5125,1039033.0
1494023208.5250001,1038986.0
1494023208.5375001,1039082.0
1494023208.5625,1038985.5
1494023208.575,1039060.0
1494023208.5875001,1039030.0
1494023208.6000001,1039045.5
1494023208.6375,1039006.0
1494023208.6500001,1038836.0
1494023208.6625001,1038790.0
1494023208.6750002,1038807.5
1494023208.7,1038969.0
1494023208.7125001,1038948.0
1494023208.7250001,1038949.0
1494023208.7375002,1038917.0
1494023208.7625,1038926.0
1494023208.7750001,1038925.0
1494023208.7875001,1038971.0
1494023208.8000002,1038928.0
1494023208.8125,1038947.0
1494023208.825,1038813.5
1494023208.8500001,1038849.0
1494023208.8625002,1038944.0
1494023208.875,1039002.0
1494023208.8875,1038920.0
1494023208.9000001,1038852.0
1494023208.9125001,1038940.0
1494023208.9375,1038906.0
1494023208.95,1038912.0
1494023208.9625001,1039069.5
1494023208.9875002,1038908.0
1494023209.0125,1038960.3333333334
1494023209.0250001,1038959.0
1494023209.0375001,1038854.0
1494023209.0500002,1038818.75
1494023209.0625,1038936.0
1494023209.075,1038904.0
1494023209.0875001,1038921.0
1494023209.1000001,1038839.0
1494023209.1125002,1038837.5
1494023209.1375,1038883.5
1494023209.1625001,1038829.0
1494023209.1875,1038861.3333333334
1494023209.2125001,1038955.75
1494023209.2250001,1039011.0
1494023209.2375002,1038943.0
1494023209.2625,1038857.0
1494023209.2750001,1038844.0
1494023209.3000002,1038885.5
1494023209.3125,1038856.0
1494023209.325,1038833.0
1494023209.3375001,1038966.0
1494023209.3500001,1038924.0
1494023209.3625002,1038832.5
